Nr,TID,PID,x [unit],y [unit],t [sec],I [val],Len [unit],D2S [unit],D2R [unit],D2P [unit],v [unit/sec],α [deg],Δα [deg]
1,1,1,202.331,130.151,0,135.3,0,0,NA,NA,NA,NA,NA
2,1,2,202.331,128.446,0,87.5,1.705,1.705,NA,1.705,NA,-90,NA
3,1,3,202.616,125.036,0,95.6,5.127,5.123,NA,3.422,NA,-85.236,4.764
4,1,4,202.616,119.353,0,110.5,10.81,10.802,NA,5.683,NA,-90,-4.764
5,1,5,202.9,111.964,0,111.8,18.204,18.196,NA,7.394,NA,-87.797,2.203
6,1,6,203.752,103.723,0,83.9,26.489,26.466,NA,8.285,NA,-84.094,3.704
7,1,7,206.31,96.903,0,57.3,33.773,33.485,NA,7.284,NA,-69.444,14.65
8,1,8,206.31,92.641,0,53.7,38.036,37.721,NA,4.263,NA,-90,-20.556
9,1,9,204.036,90.651,0,55.2,41.057,39.537,NA,3.021,NA,-138.814,-48.814
10,1,10,202.047,90.935,0,63.1,43.066,39.217,NA,2.009,NA,171.87,-49.316
11,1,11,200.058,96.051,0,64.4,48.554,34.177,NA,5.488,NA,111.251,-60.619
12,1,12,199.774,103.155,0,76.9,55.664,27.117,NA,7.11,NA,92.291,-18.96
13,1,13,199.774,117.364,0,94.5,69.873,13.041,NA,14.209,NA,90,-2.291
14,1,14,199.774,124.184,0,97.9,76.693,6.493,NA,6.82,NA,90,0
15,1,15,198.353,127.31,0,116.6,80.127,4.889,NA,3.434,NA,114.444,24.444
16,1,16,195.227,127.878,0,97.7,83.304,7.459,NA,3.177,NA,169.695,55.251
17,1,17,194.943,123.047,0,92.2,88.143,10.25,NA,4.839,NA,-93.366,96.938
18,1,18,197.216,113.669,0,96.5,97.793,17.258,NA,9.649,NA,-76.373,16.993
19,1,19,200.058,104.576,0,77.9,107.32,25.676,NA,9.527,NA,-72.646,3.727
20,1,20,200.626,96.903,0,52.7,115.014,33.292,NA,7.694,NA,-85.764,-13.118
21,1,21,200.342,92.072,0,55.6,119.853,38.131,NA,4.839,NA,-93.366,-7.603
22,1,22,200.626,89.515,0,60.3,122.426,40.673,NA,2.573,NA,-83.66,9.707
23,1,23,200.342,88.946,0,59.3,123.062,41.253,NA,0.635,NA,-116.565,-32.905
24,1,24,199.774,90.083,0,61.9,124.333,40.15,NA,1.271,NA,116.565,-126.87
25,1,25,199.49,93.777,0,60.9,128.038,36.485,NA,3.705,NA,94.399,-22.166
26,1,26,200.058,98.04,0,64.2,132.338,32.192,NA,4.3,NA,82.405,-11.993
27,1,27,199.206,102.871,0,79.2,137.244,27.459,NA,4.906,NA,100.008,17.603
28,1,28,198.637,107.702,0,107.4,142.108,22.752,NA,4.864,NA,96.71,-3.298
29,1,29,200.911,109.407,0,100.4,144.95,20.793,NA,2.842,NA,36.87,-59.84
30,1,30,201.479,109.975,0,93.2,145.753,20.194,NA,0.804,NA,45,8.13
31,1,31,201.479,106.565,0,86.2,149.164,23.602,NA,3.41,NA,-90,-135
32,1,32,200.626,102.302,0,82.5,153.511,27.901,NA,4.347,NA,-101.31,-11.31
33,1,33,199.49,92.925,0,62.8,162.957,37.335,NA,9.446,NA,-96.911,4.399
34,1,34,197.216,86.673,0,59.4,169.609,43.778,NA,6.652,NA,-109.983,-13.072
35,1,35,197.216,85.82,0,63.1,170.462,44.625,NA,0.853,NA,-90,19.983
36,1,36,196.364,86.957,0,66.7,171.883,43.605,NA,1.421,NA,126.87,-143.13
37,1,37,195.511,90.083,0,64.2,175.123,40.645,NA,3.24,NA,105.255,-21.615
38,1,38,194.943,95.766,0,81.5,180.834,35.17,NA,5.712,NA,95.711,-9.545
39,1,39,194.943,98.608,0,76.9,183.676,32.397,NA,2.842,NA,90,-5.711
40,1,40,194.375,103.723,0,98,188.823,27.6,NA,5.147,NA,96.34,6.34
41,1,41,195.795,110.828,0,113.3,196.068,20.399,NA,7.245,NA,78.69,-17.65
42,1,42,193.238,115.943,0,95.8,201.787,16.869,NA,5.719,NA,116.565,37.875
43,1,43,193.238,117.932,0,134.9,203.776,15.232,NA,1.989,NA,90,-26.565
44,1,44,191.817,116.795,0,112.9,205.596,16.998,NA,1.82,NA,-141.34,128.66
45,1,45,190.396,110.828,0,127.2,211.73,22.713,NA,6.134,NA,-103.392,37.948
46,1,46,188.407,98.324,0,75.8,224.391,34.74,NA,12.661,NA,-99.039,4.353
47,1,47,186.986,91.788,0,69.8,231.08,41.319,NA,6.689,NA,-102.265,-3.225
48,1,48,186.134,88.662,0,58.2,234.32,44.539,NA,3.24,NA,-105.255,-2.99
49,1,49,185.565,88.094,0,67.2,235.123,45.276,NA,0.804,NA,-135,-29.745
50,1,50,183.576,88.662,0,66.6,237.192,45.532,NA,2.069,NA,164.055,-60.945
51,1,51,181.871,91.22,0,60.9,240.266,43.981,NA,3.074,NA,123.69,-40.365
52,1,52,183.292,94.346,0,63.2,243.7,40.553,NA,3.434,NA,65.556,-58.134
53,1,53,180.45,104.007,0,92.2,253.771,34.093,NA,10.071,NA,106.39,40.833
54,1,54,178.461,106.849,0,93.4,257.24,33.359,NA,3.469,NA,124.992,18.602
55,1,55,179.029,110.828,0,119,261.258,30.272,NA,4.019,NA,81.87,-43.122
56,1,56,176.756,111.396,0,96.6,263.602,31.716,NA,2.343,NA,165.964,84.094
