Nr,TID,PID,x [mm],y [mm],t [sec],I [val],Len [mm],D2S [mm],D2R [mm],D2P [mm],v [mm/sec],α [deg],Δα [deg]
1,1,1,151.085,91.566,0,49.9,0,0,NA,NA,NA,NA,NA
2,1,2,146.125,87.751,0,66.5,6.258,6.258,NA,6.258,NA,-142.431,NA
3,1,3,140.783,86.607,0,74.3,11.72,11.433,NA,5.463,NA,-167.905,-25.474
4,1,4,140.783,89.277,0,53.3,14.391,10.553,NA,2.671,NA,90,-102.095
5,1,5,141.928,97.289,0,54.4,22.484,10.798,NA,8.093,NA,81.87,-8.13
6,1,6,144.217,101.105,0,65,26.934,11.753,NA,4.449,NA,59.036,-22.834
7,1,7,148.032,109.498,0,74.7,36.154,18.19,NA,9.22,NA,65.556,6.52
8,1,8,148.795,113.695,0,89.4,40.419,22.247,NA,4.266,NA,79.695,14.139
9,1,9,148.795,119.799,0,97.9,46.524,28.326,NA,6.104,NA,90,10.305
10,1,10,148.032,120.562,0,102.1,47.603,29.156,NA,1.079,NA,135,45
11,1,11,145.743,117.129,0,104,51.73,26.114,NA,4.127,NA,-123.69,101.31
12,1,12,145.743,113.313,0,83.8,55.545,22.393,NA,3.815,NA,-90,33.69
13,1,13,147.651,104.92,0,78,64.152,13.788,NA,8.608,NA,-77.196,12.804
14,1,14,147.651,95.763,0,70.3,73.309,5.423,NA,9.157,NA,-90,-12.804
15,1,15,144.98,90.803,0,66.3,78.942,6.152,NA,5.633,NA,-118.301,-28.301
16,1,16,142.309,89.277,0,52.4,82.018,9.069,NA,3.076,NA,-150.255,-31.954
17,1,17,139.639,91.185,0,61.6,85.3,11.452,NA,3.282,NA,144.462,-65.283
18,1,18,140.402,100.723,0,64,94.869,14.07,NA,9.569,NA,85.426,-59.036
19,1,19,143.454,107.591,0,65.4,102.384,17.748,NA,7.515,NA,66.038,-19.389
20,1,20,146.888,115.984,0,92,111.453,24.776,NA,9.069,NA,67.751,1.713
21,1,21,146.888,122.852,0,87,118.32,31.565,NA,6.867,NA,90,22.249
22,1,22,144.217,128.574,0,90,124.636,37.64,NA,6.315,NA,115.017,25.017
23,1,23,143.072,131.627,0,80.5,127.895,40.854,NA,3.26,NA,110.556,-4.461
24,1,24,140.783,130.864,0,82.6,130.308,40.625,NA,2.413,NA,-161.565,87.879
25,1,25,141.546,129.338,0,93.4,132.015,38.957,NA,1.706,NA,-63.435,98.13
26,1,26,142.691,123.615,0,87.7,137.851,33.129,NA,5.836,NA,-78.69,-15.255
27,1,27,142.691,117.129,0,91,144.337,26.905,NA,6.486,NA,-90,-11.31
28,1,28,142.691,112.55,0,85,148.915,22.6,NA,4.578,NA,-90,0
29,1,29,144.217,108.735,0,74.6,153.024,18.491,NA,4.109,NA,-68.199,21.801
30,1,30,144.98,103.012,0,67.3,158.798,12.972,NA,5.774,NA,-82.405,-14.207
31,1,31,144.98,100.723,0,65.2,161.087,11.005,NA,2.289,NA,-90,-7.595
32,1,32,144.599,103.012,0,56.9,163.408,13.156,NA,2.321,NA,99.462,-170.538
33,1,33,144.217,106.446,0,65.3,166.863,16.388,NA,3.455,NA,96.34,-3.122
34,1,34,141.546,111.024,0,76.9,172.163,21.67,NA,5.3,NA,120.256,23.916
35,1,35,142.691,115.603,0,83.8,176.882,25.46,NA,4.719,NA,75.964,-44.293
36,1,36,144.599,115.984,0,85,178.828,25.264,NA,1.945,NA,11.31,-64.654
37,1,37,146.125,114.458,0,78,180.986,23.423,NA,2.158,NA,-45,-56.31
38,1,38,146.506,113.695,0,75.8,181.839,22.597,NA,0.853,NA,-63.435,-18.435
39,1,39,145.362,114.076,0,81.5,183.046,23.226,NA,1.206,NA,161.565,-135
40,1,40,143.836,114.84,0,81.7,184.752,24.376,NA,1.706,NA,153.435,-8.13
41,1,41,143.454,113.313,0,79.4,186.325,23.047,NA,1.573,NA,-104.036,102.529
42,1,42,142.309,108.354,0,79.4,191.415,18.942,NA,5.09,NA,-102.995,1.042
43,1,43,142.309,101.105,0,72.1,198.664,12.961,NA,7.249,NA,-90,12.995
